Context utterance,Response utterance,Implicature
"I keep putting off getting my passport application.

",Thank Goodness I didn't drag my feet on that one.,I already sent my passport application
"Have you found him yet?
",We're still looking.,No.
You... live here?,"Long time. Long, long time.",Yes.
Are there more like you?  ,Dead. All dead. Long time.,No.
I feel horrible. Debbie was furious that I lost her notes. Do you think I should apologize her again?,If I were you I would cool off for some days before I talk to her again.,No. Return Debbie's notes in a few days
I am having some trouble putting into my jeans. I think I should buy a new one. ,you would not have to do that if you cut down on what you eat.,If you reduce your weight you should be able to use this jeans.
My client is taking me to a really fancy restaurant tonight. So I am wearing this new cologne. I got a sample of it from a magazine. Can you smell it?,From across the room. But it is not exactly subtle. Is it?,Yes. The cologne has a strong smell.
Have you started writing your paper on computer programming languages?,"To be true, I had been putting it off.",No. I have not done any work yet.
I am taking this course 'Psychology of Language' in this semester. You should have taken it since your majors is in psychology.,"I tried , but they said i should have taken linguistics 101.",I wanted to take the course 'Psychology of Language'
We got to be in Philadelphia by saturday.We could take the train. But we would need to change a few times,A direct flight would be less complicated and even more cheaper.,Taking an airoplane might be more practical.
"Someone said that there was a really great documentary on television lastnight, about body. It would have helped me in my biology course.",Sorry. I did not know that you are interested in that sort of thing. I would have told you when it was on.,I knew that the program was shown last night and I was watching it.
I really enjoyed the piece that you just played n the piano.,People just cant get enough of it.,people often ask me to play the song.
How clumsy of me. I have spilled the tea on your white table cloth. ,It would come off with some soap and water. ,I am not upset about the spill
I am not going swimming in the lake until it warms up outside on this day. ,Me neither. Unfortunately the report says it is supposed to stay like this today.,We may not be able to go for swimming today.
That sweater is so unusual. It looks so familiar. Did you wear it yesterday. ,"Not me. But you know, it belongs to my roommate Jill and she is in your chemistry class.",You saw Jill wearing it yesterday.
This toothache is killing me. What is the name of your dentist,I told you last week to book an appointment.,You should have seen the dentist by now.
Do you want to go to the lecture tonight in the science auditorium. It is done by a guide who lived in Antartica for a decade.,It is no kidding. I am writing a report on Antartica in my geography class. Maybe I would get some good information to add to it.,Yes. I want to attend the lecture.
I really like to learn how to play chess. But it is a little bit complicated. I think it will take a really long time to learn.,It is a bit complicated. But we could go over the basics this afternoon if you want.,No. I shall help you to learn to play chess.
Do you think you can lend me that novel when you are finished with it. I was trying to get a copy but apparantly it was sold off in all the book stores.,But it is not mine. It belongs to Alice. But I will see what she says.,I shall ask Alice if you can borrow the novel.
Umm. Want to try a bit of chocolate pudding? It is delicious. ,"To be honest with you, I am not a big fan of chocolate.",I dont want any chocolate pudding.
Why dont you go watch the new Italian film at the Pine street Cinema.,It is a little so out of the way. Don't you think? It would soon start plaing at the end of the street.,We will see the movie when it comes to the theatre nearby.
I know Dr. William is attending a conference. Would you please tell my grade in the last semester.,Sorry madam. But I am not authorized to give that kind of information.,I am not allowed to tell the student her grades.
"You want to believe, the line of auto inspection. I waited for 2 hours to get through it.",Thats what you get for waiting until that last day of the month.,You should have had you car inspected soon.
I am going to conduct my psychology experiment this Saturday. I would be having a handful. Would you help by writing the names of the participants.,I have got some work on my own.,No. I have some work on my own.
Have you tried cashing that refund cheque at the book store?,Oh Gosh Thank you for reminding me.,No. I forgot.
It seems Cathy is not happy at all with her new room mate. Did you ask her why?,Believe me. I tried to find out. But I simply could not pin it down.,Yes but Cathy did not give specific reasons for her feelings.
"Oh! Professor Jackson, could you read the thesis proposal I sent to you?",Oh! To be honest I was preoccupied by some other things after you gave your proposal a week ago.,I have not read it yet.
This stew is delicious. I wish I had been able to make it own my own. ,Why not. You can get all the ingredients in any supermarket. I shall give you the recipe.,You can make it easily
"So, How was the drama club's production last night? Did I miss anything good?",Hardly. I was looking at my watch all the time.,No. The drama was not good.
I noticed that you have not installed that program on your computer. Shall I sit with you with the instruction manual?,That would be great. You need a phD to undertand it.,Yes. I am not able to understand the instruction.
How would I get one of the green buckets for paper recycling? ,Oh! Just call the sanitation depeatment.,Arrange by phone to have the bucket delivered.
"There is nothing else that gets me started other than a big breakfast of eggs, bacon and fried potatoes",Not me. All that fatty foods give me a stomach ache. I prefer some fruit or yoghurt.,I dont eat a lot for breakfast.
"They are against you?
", They... fear me.,No.
Did you fingerprint or anything?,"these guys always wear Gloves.
",No.
do you want this so badly?, It is everything.,Yes.
"They were fine?
",All is good.,Yes
Do you have a permit?,Not yet!,No.
Are you ready to get back to work?,I think so,Yes.
Have you ever dealt with anything like this?,"Have you met my father?
",Yes.
Do you know where he is?,I'll find him.,No.
"You're going to see your little
           brother?
", First thing.,Yes.
Aren't you scared?,Sometimes.,Yes.
you got anything to sell? , I can get it.,Yes.
"Do you know, how long is Uncle Arthur staying with us?",Ask your father.,No.
"You gonna tell him you've been sneaking it out
          of his wallet?","All right, you know what I'm gonna do?",Yes.
"They grow up so fast, don't they?",Too fast.,Yes.
"Do you want a cigar, Father?
",They're very bad for you.,No.
Is he currently employed?,"He's... he's going through a bad patch
               at the moment. But it's not his fault.",No.
Are you a shiftless dreamer?, Not anymore.,No.
"Do you know him?
",I wish I did.,No.
"Friend or brother, who could be more precious?","Blood is thicker than water, old man.",Brother is more precious than friend.
"What, scared of heights?
"," I dunno, man. After what happened to
               Johnny Gobs",Yes.
Anything new?, The usual gas.,No.
"This anything I should
               know about?",Nothing out of the routine.,No.
Got any more of those?," Nothing I'm at liberty to reveal
               here.",Yes.
You actually know all these people?,Some.,No.
Will you be staying in Gotham for a while?, As far as I know.,Yes.
Do you sail?,"Too much work. I'm not really the
               physical type.
",No.
Have you ever been to Corto Maltese?,Not since the shooting started.,Yes.
Would you like me to take you home?,God. You would.,Yes.
"You know that, don't you?
",It wouldn't matter much.,Yes.
Seen the late edition?, I'm afraid so.,"Yes.
"
"Do you believe everything you
               hear?","Oh, I'm not one to judge.",Yes.
"They'll be safe, won't they?
",As safe as we can make 'em.,"Yes.
"
"and then Batman showed up?
"," He saved all our lives, Jim.",Yes.
How do like my new hat?,It is an interesting colour,"I don’t like your hat.
"
"Did he pass the exam?
",Does a monkey build a house?,No.
Did she sing well?,"Can you get feathers from a tortoise?
",No.
Did he finish the painting?,Does the sun rise in the west?,"No.
"
"Can he play the violin?
",Can a pig fly?,No.
Are you giving me a ride?,Don't need to.,No.
"I've packed enough food in the knapsack.
","I'd say! Looks like you'll be away for a while.
",you have packed too much food.
"Well, I suppose we should check these figures again and see if they match up with the forecasts.
","It's a good idea. But since we're all a bit weary from it, I would say we call it a day.",I think you should quit working on it and go home.
Professor Carlson doesn’t accept late assignments. Were you able to finish the midterm project on time?,"It was close, but I slipped it in right under the wire.",No.
" I heard that Sally just moved into a new, big house near the beach.",But Sally doesn’t have a cent!,"I wonder how Sally managed to get the money.
"
"Is he available ?
","He's all tied up in the staff meeting.
",No.
How did sally know about our plan?,Someone spilled the beans.,someone told her
Did he pass the secret to his children?,He kicked the bucket before telling anyone,he died before telling it
"Did you invite john?
",He's such a wet blanket,No. 
I thought you said this was a difficult problem?,It's as easy as pie.,No.
What time's the party?,Beats me!,I have no idea.
"Sorry, but I can't go and have a cup of coffee with you now. I've only done half the readings for the philosophy class tomorrow.
",And I thought I was a slow reader.,I finished the readings
"Where's Marie? 


","I haven't seen her for ages.
","I have not seen her for a very long time.
"
Did I explain it well?,Your explanation is as clear as mud.,No.
Are you going for the party?,Is the pope Catholic?,Yes.
Did you book the tickets?,Is rain wet?,Yes.
Would you come out with me?,"You didn't think I would say yes to that, did you?",Yes.
Do you think I should attend the interview?,Do you want to be a failure for the rest of your life?,Yes.
Can you drive that far?,Can fish swim?,Yes.
Can you make a cake?,Can birds fly?,Yes.
Would he be able to recite the song?,Do dogs bark?,Yes.
Do you know how to play the violin?,Do cats meow?,Yes.
Does he come to attend the meditation class?,Do pigs fly?,No.
Do I have to attend this interview?,Do you want to be a success in this world?,Yes.
Can you lend me hundred dollars?,Is this supposed to be some kind of a joke?,No.
Did she look pretty?,She was as cute as a kitten,Yes.
Are you able to carry the box?,It is as light as a feather.,Yes.
Can you see the spot?,It is as bright as a button.,Yes.
Is the bangle clean now?,It is as shiny as a new pin,Yes.
Is the room warm?,It is as cold as ice.,No.
Is the professor friendly?,He is as cool as a cucumber.,Yes.
Did the negotiation go well?,It was as hard as nails.,No.
Is this place hot?,As hot as hell,Yes.
Do you think he did the theft?,He is as innocent as a lamb,No.
Is the groom taller than the bride?,He is s tall as a giraffe,Yes.
Did I do it well?,You were as brave as a lion.,Yes.
Do they fight?,They fight like cats and dogs.,Yes.
Is it fun to play with Katie?,she's more fun than a barrel of monkeys!,Yes.
Can I trust George?,He is as clean as a whistle.,Yes.
Is Marci grumpy?,he's as gentle as a lamb,No.
